Time,ParticipantID,TrialID,PU1_VR, PU2_VR, PU3_VR, PU4_VR, PU1_S, PU2_S, PU3_S, PU4_S, PEOU1_VR, PEOU2_VR, PEOU3_VR, PEOU4_VR, PEOU1_S, PEOU2_S, PEOU3_S, PEOU4_S, IU1_VR, IU2_VR, IU1_S, IU2_S, E1_VR, E2_VR, E3_VR, E1_S, E2_S, E3_S, T1_VR, T2_VR, T3_VR, T4_VR, T1_S, T2_S, T3_S, T4_S, 
ParticipantID,TrialID,PU1_VR,PU2_VR,PU3_VR,PU4_VR,PU1_S,PU2_S,PU3_S,PU4_S,PEOU1_VR,PEOU2_VR,PEOU3_VR,PEOU4_VR,PEOU1_S,PEOU2_S,PEOU3_S,PEOU4_S,IU1_VR,IU2_VR,IU1_S,IU2_S,E1_VR,E2_VR,E3_VR,E1_S,E2_S,E3_S,T1_VR,T2_VR,T3_VR,T4_VR,T1_S,T2_S,T3_S,T4_S,1,2,3,4,5
55,vr,1,4,1,1,,3,,,1,1,1,1,,,,,2,1,,,1,1,1,,,,2,2,1,1,,,,,_,_,_,_,_
ParticipantID,TrialID,PU1_VR,PU2_VR,PU3_VR,PU4_VR,PU1_S,PU2_S,PU3_S,PU4_S,PEOU1_VR,PEOU2_VR,PEOU3_VR,PEOU4_VR,PEOU1_S,PEOU2_S,PEOU3_S,PEOU4_S,IU1_VR,IU2_VR,IU1_S,IU2_S,E1_VR,E2_VR,E3_VR,E1_S,E2_S,E3_S,T1_VR,T2_VR,T3_VR,T4_VR,T1_S,T2_S,T3_S,T4_S,1,2,3,4,5
54,vr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_,_,_,_,_
ParticipantID,TrialID,PU1_VR,PU2_VR,PU3_VR,PU4_VR,PU1_S,PU2_S,PU3_S,PU4_S,PEOU1_VR,PEOU2_VR,PEOU3_VR,PEOU4_VR,PEOU1_S,PEOU2_S,PEOU3_S,PEOU4_S,IU1_VR,IU2_VR,IU1_S,IU2_S,E1_VR,E2_VR,E3_VR,E1_S,E2_S,E3_S,T1_VR,T2_VR,T3_VR,T4_VR,T1_S,T2_S,T3_S,T4_S,1,2,3,4,5
54,vr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_,_,_,_,_
ParticipantID,TrialID,PU1_VR,PU2_VR,PU3_VR,PU4_VR,PU1_S,PU2_S,PU3_S,PU4_S,PEOU1_VR,PEOU2_VR,PEOU3_VR,PEOU4_VR,PEOU1_S,PEOU2_S,PEOU3_S,PEOU4_S,IU1_VR,IU2_VR,IU1_S,IU2_S,E1_VR,E2_VR,E3_VR,E1_S,E2_S,E3_S,T1_VR,T2_VR,T3_VR,T4_VR,T1_S,T2_S,T3_S,T4_S,1,2,3,4,5
43,screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_,_,_,_,_
ParticipantID,TrialID,PU1_VR,PU2_VR,PU3_VR,PU4_VR,PU1_S,PU2_S,PU3_S,PU4_S,PEOU1_VR,PEOU2_VR,PEOU3_VR,PEOU4_VR,PEOU1_S,PEOU2_S,PEOU3_S,PEOU4_S,IU1_VR,IU2_VR,IU1_S,IU2_S,E1_VR,E2_VR,E3_VR,E1_S,E2_S,E3_S,T1_VR,T2_VR,T3_VR,T4_VR,T1_S,T2_S,T3_S,T4_S,1,2,3,4,5
43,screen,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,_,_,_,_,_
ParticipantID,TrialID,PU1_VR,PU2_VR,PU3_VR,PU4_VR,PU1_S,PU2_S,PU3_S,PU4_S,PEOU1_VR,PEOU2_VR,PEOU3_VR,PEOU4_VR,PEOU1_S,PEOU2_S,PEOU3_S,PEOU4_S,IU1_VR,IU2_VR,IU1_S,IU2_S,E1_VR,E2_VR,E3_VR,E1_S,E2_S,E3_S,T1_VR,T2_VR,T3_VR,T4_VR,T1_S,T2_S,T3_S,T4_S,1,2,3,4,5
66,vr,1,4,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,_,_,_,_,_
ParticipantID,TrialID,PU1_VR,PU2_VR,PU3_VR,PU4_VR,PU1_S,PU2_S,PU3_S,PU4_S,PEOU1_VR,PEOU2_VR,PEOU3_VR,PEOU4_VR,PEOU1_S,PEOU2_S,PEOU3_S,PEOU4_S,IU1_VR,IU2_VR,IU1_S,IU2_S,E1_VR,E2_VR,E3_VR,E1_S,E2_S,E3_S,T1_VR,T2_VR,T3_VR,T4_VR,T1_S,T2_S,T3_S,T4_S,1,2,3,4,5
66,vr,1,4,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,_,_,_,_,_
